chargeback_id,transaction_id,reason,amount,opened_at,resolved_at
CB000001,TXN00000332,FRAUD,814.46,2025-03-03 15:33:30.470704080,2025-04-26 15:33:30.470704080
CB000002,TXN00000977,FRAUD,60314.16,2025-02-11 20:11:43.583145055,2025-04-11 20:11:43.583145055
CB000003,TXN00001117,AUTHORISATION,7.99,2025-02-09 03:13:59.082888911,2025-02-21 03:13:59.082888911
CB000004,TXN00002643,FRAUD,45.39,2025-03-12 02:20:39.190734098,
CB000005,TXN00003137,FRAUD,3707.56,2025-03-17 00:15:48.900703780,
CB000006,TXN00003397,FRAUD,218.04,2025-03-05 11:23:26.618648360,2025-03-25 11:23:26.618648360
CB000007,TXN00003776,FRAUD,1320.63,2025-01-31 04:31:59.297880876,2025-03-20 04:31:59.297880876
CB000008,TXN00004655,FRAUD,223.14,2025-02-19 19:08:42.689573349,2025-04-09 19:08:42.689573349
CB000009,TXN00004939,FRAUD,3979.08,2025-03-21 08:35:05.308129859,2025-04-13 08:35:05.308129859
CB000010,TXN00005050,DUPLICATE,178.47,2025-02-23 14:21:30.508034438,2025-04-05 14:21:30.508034438
CB000011,TXN00005239,FRAUD,25.76,2025-02-10 22:10:23.711993878,
CB000012,TXN00005796,FRAUD,25.27,2025-02-28 00:47:52.795039952,
CB000013,TXN00006067,FRAUD,460.84,2025-02-06 14:23:02.388722930,2025-03-02 14:23:02.388722930
CB000014,TXN00006173,FRAUD,119.33,2025-01-29 19:47:15.313052096,2025-03-28 19:47:15.313052096
CB000015,TXN00006370,FRAUD,17227.06,2025-03-27 04:03:34.431803291,2025-05-06 04:03:34.431803291
CB000016,TXN00006453,FRAUD,1516.44,2025-03-22 07:49:15.789878702,2025-04-28 07:49:15.789878702
CB000017,TXN00006722,FRAUD,3230.31,2025-03-27 19:37:35.675693437,2025-04-09 19:37:35.675693437
CB000018,TXN00007079,PRODUCT_NOT_RECEIVED,92.23,2025-02-01 11:41:13.449550157,2025-02-14 11:41:13.449550157
CB000019,TXN00007198,SUBSCRIPTION_CANCELLED,1007.19,2025-03-01 16:32:06.088512256,
CB000020,TXN00007447,SUBSCRIPTION_CANCELLED,3007.12,2025-02-03 04:22:04.457526440,2025-03-02 04:22:04.457526440
CB000021,TXN00007571,FRAUD,17.51,2025-02-05 09:09:10.499120603,2025-03-20 09:09:10.499120603
CB000022,TXN00007680,FRAUD,5124.04,2025-02-09 14:34:21.212452349,
CB000023,TXN00007749,SUBSCRIPTION_CANCELLED,2122.03,2025-03-19 17:32:52.314807661,2025-04-05 17:32:52.314807661
CB000024,TXN00007858,PRODUCT_NOT_RECEIVED,57.03,2025-01-30 21:52:17.043700880,
CB000025,TXN00008016,SUBSCRIPTION_CANCELLED,39.25,2025-01-31 04:36:11.310593054,2025-03-01 04:36:11.310593054
CB000026,TXN00008043,SUBSCRIPTION_CANCELLED,194.81,2025-02-16 05:56:39.852955407,2025-03-24 05:56:39.852955407
CB000027,TXN00008084,DUPLICATE,21.94,2025-03-11 07:45:59.313960174,2025-04-08 07:45:59.313960174
CB000028,TXN00008190,PRODUCT_NOT_RECEIVED,2129.11,2025-03-03 12:53:13.916773559,2025-04-02 12:53:13.916773559
CB000029,TXN00009537,AUTHORISATION,1712.75,2025-03-14 03:52:36.486307026,2025-05-08 03:52:36.486307026
CB000030,TXN00009926,PRODUCT_NOT_RECEIVED,1103.67,2025-03-16 19:55:27.336371535,2025-05-11 19:55:27.336371535
CB000031,TXN00010465,FRAUD,1175.25,2025-02-05 18:35:13.568255127,2025-02-16 18:35:13.568255127
CB000032,TXN00010535,FRAUD,124.97,2025-03-28 21:41:07.846984495,2025-04-08 21:41:07.846984495
CB000033,TXN00010552,DUPLICATE,99.51,2025-03-12 22:23:38.441495176,2025-04-30 22:23:38.441495176
