transaction_id,rule_id,decision,risk_score,model_version
TXN00000001,FR_VELOCITY,APPROVE,0.3752,v2.1
TXN00000001,FR_AMOUNT,APPROVE,0.4458,v2.1
TXN00000001,FR_MLSCORE,APPROVE,0.4981,v2.1
TXN00000002,FR_AMOUNT,APPROVE,0.4519,v2.1
TXN00000002,FR_AMOUNT,REVIEW,0.5832,v2.1
TXN00000003,FR_VELOCITY,APPROVE,0.0647,v2.1
TXN00000003,FR_VELOCITY,APPROVE,0.3103,v2.1
TXN00000004,FR_VELOCITY,APPROVE,0.094,v2.1
TXN00000004,FR_VELOCITY,APPROVE,0.2639,v2.1
TXN00000005,FR_AMOUNT,APPROVE,0.0972,v2.1
TXN00000006,FR_VELOCITY,REVIEW,0.5586,v2.1
TXN00000007,FR_DEVICE,APPROVE,0.115,v2.1
TXN00000007,FR_GEO,APPROVE,0.3956,v2.1
TXN00000008,FR_AMOUNT,APPROVE,0.1623,v2.1
TXN00000009,FR_GEO,APPROVE,0.2487,v2.1
TXN00000010,FR_BIN,APPROVE,0.2011,v2.1
TXN00000011,FR_BIN,APPROVE,0.493,v2.1
TXN00000011,FR_BIN,APPROVE,0.2819,v2.1
TXN00000011,FR_AMOUNT,APPROVE,0.1201,v2.1
TXN00000011,FR_DEVICE,APPROVE,0.0122,v2.1
TXN00000012,FR_GEO,REVIEW,0.6061,v2.1
TXN00000013,FR_MLSCORE,APPROVE,0.001,v2.1
TXN00000013,FR_DEVICE,APPROVE,0.1521,v2.1
TXN00000014,FR_VELOCITY,APPROVE,0.2464,v2.1
TXN00000015,FR_GEO,REVIEW,0.6388,v2.1
TXN00000016,FR_MLSCORE,APPROVE,0.4174,v2.1
TXN00000016,FR_AMOUNT,APPROVE,0.315,v2.1
TXN00000017,FR_MLSCORE,APPROVE,0.1751,v2.1
TXN00000017,FR_VELOCITY,APPROVE,0.001,v2.1
TXN00000018,FR_DEVICE,APPROVE,0.0922,v2.1
TXN00000018,FR_AMOUNT,APPROVE,0.2173,v2.1
TXN00000019,FR_MLSCORE,APPROVE,0.4429,v2.1
TXN00000019,FR_BIN,APPROVE,0.163,v2.1
TXN00000020,FR_MLSCORE,APPROVE,0.2251,v2.1
TXN00000020,FR_DEVICE,APPROVE,0.0356,v2.1
TXN00000021,FR_VELOCITY,APPROVE,0.0425,v2.1
TXN00000021,FR_AMOUNT,APPROVE,0.514,v2.1
TXN00000021,FR_GEO,APPROVE,0.4387,v2.1
TXN00000022,FR_VELOCITY,APPROVE,0.3419,v2.1
TXN00000023,FR_BIN,APPROVE,0.2241,v2.1
TXN00000023,FR_MLSCORE,APPROVE,0.0469,v2.1
TXN00000024,FR_MLSCORE,APPROVE,0.2835,v2.1
TXN00000024,FR_MLSCORE,REVIEW,0.568,v2.1
TXN00000025,FR_VELOCITY,APPROVE,0.2073,v2.1
TXN00000026,FR_MLSCORE,APPROVE,0.2727,v2.1
TXN00000026,FR_DEVICE,APPROVE,0.1297,v2.1
TXN00000026,FR_VELOCITY,APPROVE,0.1936,v2.1
TXN00000027,FR_MLSCORE,APPROVE,0.4168,v2.1
TXN00000028,FR_BIN,APPROVE,0.0267,v2.1
TXN00000028,FR_BIN,APPROVE,0.5079,v2.1
TXN00000029,FR_DEVICE,REVIEW,0.5699,v2.1
TXN00000030,FR_AMOUNT,APPROVE,0.126,v2.1
TXN00000031,FR_AMOUNT,APPROVE,0.1611,v2.1
TXN00000032,FR_VELOCITY,APPROVE,0.4004,v2.1
TXN00000033,FR_BIN,REVIEW,0.5855,v2.1
TXN00000034,FR_MLSCORE,APPROVE,0.107,v2.1
TXN00000034,FR_GEO,APPROVE,0.1208,v2.1
TXN00000035,FR_DEVICE,APPROVE,0.2083,v2.1
TXN00000035,FR_MLSCORE,APPROVE,0.0814,v2.1
TXN00000036,FR_MLSCORE,APPROVE,0.4422,v2.1
TXN00000037,FR_DEVICE,APPROVE,0.1008,v2.1
TXN00000038,FR_AMOUNT,APPROVE,0.2673,v2.1
TXN00000038,FR_AMOUNT,APPROVE,0.0706,v2.1
TXN00000038,FR_MLSCORE,APPROVE,0.0958,v2.1
TXN00000039,FR_DEVICE,APPROVE,0.3132,v2.1
TXN00000039,FR_DEVICE,APPROVE,0.3863,v2.1
TXN00000040,FR_DEVICE,APPROVE,0.3717,v2.1
TXN00000041,FR_GEO,APPROVE,0.0918,v2.1
TXN00000042,FR_MLSCORE,REVIEW,0.5778,v2.1
TXN00000043,FR_AMOUNT,APPROVE,0.3755,v2.1
TXN00000043,FR_GEO,REVIEW,0.6528,v2.1
TXN00000044,FR_AMOUNT,APPROVE,0.2515,v2.1
TXN00000045,FR_VELOCITY,APPROVE,0.2726,v2.1
TXN00000046,FR_VELOCITY,APPROVE,0.1583,v2.1
TXN00000046,FR_VELOCITY,APPROVE,0.0188,v2.1
TXN00000046,FR_AMOUNT,APPROVE,0.1041,v2.1
TXN00000047,FR_DEVICE,APPROVE,0.5233,v2.1
TXN00000047,FR_BIN,REVIEW,0.6754,v2.1
TXN00000048,FR_VELOCITY,REVIEW,0.6219,v2.1
TXN00000049,FR_DEVICE,APPROVE,0.4752,v2.1
TXN00000049,FR_BIN,APPROVE,0.4841,v2.1
TXN00000050,FR_DEVICE,APPROVE,0.237,v2.1
TXN00000050,FR_BIN,APPROVE,0.2032,v2.1
TXN00000051,FR_BIN,APPROVE,0.0908,v2.1
TXN00000052,FR_AMOUNT,APPROVE,0.0159,v2.1
TXN00000052,FR_MLSCORE,APPROVE,0.0112,v2.1
TXN00000052,FR_AMOUNT,APPROVE,0.0834,v2.1
TXN00000052,FR_BIN,APPROVE,0.2524,v2.1
TXN00000053,FR_AMOUNT,APPROVE,0.0979,v2.1
TXN00000054,FR_AMOUNT,APPROVE,0.3032,v2.1
TXN00000054,FR_VELOCITY,APPROVE,0.1667,v2.1
TXN00000054,FR_GEO,APPROVE,0.0512,v2.1
TXN00000055,FR_GEO,APPROVE,0.475,v2.1
TXN00000056,FR_VELOCITY,APPROVE,0.3777,v2.1
TXN00000057,FR_AMOUNT,APPROVE,0.4687,v2.1
TXN00000058,FR_BIN,REVIEW,0.6901,v2.1
TXN00000059,FR_MLSCORE,REVIEW,0.6449,v2.1
TXN00000060,FR_GEO,REVIEW,0.5526,v2.1
TXN00000060,FR_DEVICE,REVIEW,0.5872,v2.1
TXN00000060,FR_AMOUNT,APPROVE,0.5357,v2.1
TXN00000061,FR_DEVICE,APPROVE,0.1028,v2.1
TXN00000062,FR_BIN,DECLINE,0.8372,v2.1
TXN00000063,FR_DEVICE,APPROVE,0.1624,v2.1
TXN00000064,FR_BIN,APPROVE,0.1809,v2.1
TXN00000065,FR_MLSCORE,APPROVE,0.2397,v2.1
TXN00000065,FR_MLSCORE,APPROVE,0.4512,v2.1
TXN00000066,FR_BIN,APPROVE,0.4848,v2.1
TXN00000066,FR_BIN,APPROVE,0.361,v2.1
TXN00000067,FR_DEVICE,APPROVE,0.1727,v2.1
TXN00000068,FR_AMOUNT,APPROVE,0.3567,v2.1
TXN00000069,FR_VELOCITY,APPROVE,0.5358,v2.1
TXN00000069,FR_MLSCORE,APPROVE,0.339,v2.1
TXN00000070,FR_MLSCORE,REVIEW,0.6801,v2.1
TXN00000070,FR_DEVICE,APPROVE,0.5154,v2.1
TXN00000071,FR_VELOCITY,APPROVE,0.1529,v2.1
TXN00000071,FR_GEO,APPROVE,0.0838,v2.1
TXN00000071,FR_DEVICE,APPROVE,0.1626,v2.1
TXN00000071,FR_AMOUNT,APPROVE,0.233,v2.1
TXN00000072,FR_DEVICE,APPROVE,0.3397,v2.1
TXN00000073,FR_AMOUNT,APPROVE,0.3845,v2.1
TXN00000074,FR_MLSCORE,APPROVE,0.3626,v2.1
TXN00000074,FR_VELOCITY,APPROVE,0.3318,v2.1
TXN00000075,FR_VELOCITY,APPROVE,0.3132,v2.1
TXN00000075,FR_AMOUNT,APPROVE,0.2331,v2.1
TXN00000076,FR_BIN,REVIEW,0.6106,v2.1
TXN00000077,FR_VELOCITY,APPROVE,0.4306,v2.1
TXN00000077,FR_MLSCORE,APPROVE,0.3876,v2.1
TXN00000078,FR_MLSCORE,APPROVE,0.4737,v2.1
TXN00000079,FR_BIN,APPROVE,0.275,v2.1
