rate_date,currency,rate_to_usd,rate_type
2025-01-01,AED,0.2724404,MID
2025-01-01,AED,0.27148686,SETTLEMENT
2025-01-01,INR,0.0120526,MID
2025-01-01,INR,0.01201041,SETTLEMENT
2025-01-01,SGD,0.74481617,MID
2025-01-01,SGD,0.74220931,SETTLEMENT
2025-01-01,USD,1.0,MID
2025-01-01,USD,1.0,SETTLEMENT
2025-01-02,AED,0.27231312,MID
2025-01-02,AED,0.27136002,SETTLEMENT
2025-01-02,INR,0.01203128,MID
2025-01-02,INR,0.01198917,SETTLEMENT
2025-01-02,SGD,0.74279084,MID
2025-01-02,SGD,0.74019107,SETTLEMENT
2025-01-02,USD,1.0,MID
2025-01-02,USD,1.0,SETTLEMENT
2025-01-03,AED,0.27247338,MID
2025-01-03,AED,0.27151972,SETTLEMENT
2025-01-03,INR,0.01205528,MID
2025-01-03,INR,0.01201308,SETTLEMENT
2025-01-03,SGD,0.7426805,MID
2025-01-03,SGD,0.74008112,SETTLEMENT
2025-01-03,USD,1.0,MID
2025-01-03,USD,1.0,SETTLEMENT
2025-01-04,AED,0.27223276,MID
2025-01-04,AED,0.27127994,SETTLEMENT
2025-01-04,INR,0.01205614,MID
2025-01-04,INR,0.01201395,SETTLEMENT
2025-01-04,SGD,0.7435543,MID
2025-01-04,SGD,0.74095186,SETTLEMENT
2025-01-04,USD,1.0,MID
2025-01-04,USD,1.0,SETTLEMENT
2025-01-05,AED,0.27238496,MID
2025-01-05,AED,0.27143161,SETTLEMENT
2025-01-05,INR,0.01201248,MID
2025-01-05,INR,0.01197044,SETTLEMENT
2025-01-05,SGD,0.74408683,MID
2025-01-05,SGD,0.74148253,SETTLEMENT
2025-01-05,USD,1.0,MID
2025-01-05,USD,1.0,SETTLEMENT
2025-01-06,AED,0.27234574,MID
2025-01-06,AED,0.27139253,SETTLEMENT
2025-01-06,INR,0.01201998,MID
2025-01-06,INR,0.01197791,SETTLEMENT
2025-01-06,SGD,0.74330363,MID
2025-01-06,SGD,0.74070207,SETTLEMENT
2025-01-06,USD,1.0,MID
2025-01-06,USD,1.0,SETTLEMENT
2025-01-07,AED,0.27254822,MID
2025-01-07,AED,0.2715943,SETTLEMENT
2025-01-07,INR,0.01203876,MID
2025-01-07,INR,0.01199662,SETTLEMENT
2025-01-07,SGD,0.74443855,MID
2025-01-07,SGD,0.74183302,SETTLEMENT
2025-01-07,USD,1.0,MID
2025-01-07,USD,1.0,SETTLEMENT
2025-01-08,AED,0.27255777,MID
2025-01-08,AED,0.27160382,SETTLEMENT
2025-01-08,INR,0.01203046,MID
2025-01-08,INR,0.01198835,SETTLEMENT
2025-01-08,SGD,0.74397719,MID
2025-01-08,SGD,0.74137327,SETTLEMENT
2025-01-08,USD,1.0,MID
2025-01-08,USD,1.0,SETTLEMENT
2025-01-09,AED,0.27176478,MID
2025-01-09,AED,0.2708136,SETTLEMENT
2025-01-09,INR,0.0120329,MID
2025-01-09,INR,0.01199079,SETTLEMENT
2025-01-09,SGD,0.74392359,MID
2025-01-09,SGD,0.74131986,SETTLEMENT
2025-01-09,USD,1.0,MID
2025-01-09,USD,1.0,SETTLEMENT
2025-01-10,AED,0.27155978,MID
2025-01-10,AED,0.27060932,SETTLEMENT
2025-01-10,INR,0.01201895,MID
2025-01-10,INR,0.01197688,SETTLEMENT
2025-01-10,SGD,0.7436268,MID
2025-01-10,SGD,0.7410241,SETTLEMENT
2025-01-10,USD,1.0,MID
2025-01-10,USD,1.0,SETTLEMENT
2025-01-11,AED,0.2726214,MID
2025-01-11,AED,0.27166723,SETTLEMENT
2025-01-11,INR,0.01204208,MID
2025-01-11,INR,0.01199993,SETTLEMENT
2025-01-11,SGD,0.74516805,MID
2025-01-11,SGD,0.74255997,SETTLEMENT
2025-01-11,USD,1.0,MID
2025-01-11,USD,1.0,SETTLEMENT
2025-01-12,AED,0.27268217,MID
2025-01-12,AED,0.27172778,SETTLEMENT
2025-01-12,INR,0.01203873,MID
2025-01-12,INR,0.0119966,SETTLEMENT
2025-01-12,SGD,0.74286933,MID
2025-01-12,SGD,0.74026929,SETTLEMENT
2025-01-12,USD,1.0,MID
2025-01-12,USD,1.0,SETTLEMENT
2025-01-13,AED,0.27196059,MID
2025-01-13,AED,0.27100872,SETTLEMENT
2025-01-13,INR,0.01202658,MID
2025-01-13,INR,0.01198448,SETTLEMENT
2025-01-13,SGD,0.7412257,MID
2025-01-13,SGD,0.73863141,SETTLEMENT
