merchant_id,category,country,pricing_plan,risk_tier
MER00001,DIGITAL_GOODS,SG,FLAT_2_0,LOW
MER00002,DIGITAL_GOODS,SG,FLAT_2_0,MEDIUM
MER00003,DIGITAL_GOODS,AE,FLAT_2_0,MEDIUM
MER00004,GAMING,SG,FLAT_2_0,HIGH
MER00005,DIGITAL_GOODS,IN,FLAT_2_0,MEDIUM
MER00006,GROCERY,AE,TIERED,MEDIUM
MER00007,DIGITAL_GOODS,SG,TIERED,LOW
MER00008,ELECTRONICS,IN,INTERCHANGE_PLUS,MEDIUM
MER00009,DIGITAL_GOODS,SG,TIERED,LOW
MER00010,GROCERY,IN,TIERED,MEDIUM
MER00011,GROCERY,SG,INTERCHANGE_PLUS,MEDIUM
MER00012,SERVICES,SG,INTERCHANGE_PLUS,LOW
MER00013,GROCERY,SG,INTERCHANGE_PLUS,LOW
MER00014,TRAVEL,IN,INTERCHANGE_PLUS,LOW
MER00015,GAMING,IN,FLAT_2_0,MEDIUM
MER00016,ELECTRONICS,AE,ENTERPRISE_NEGOTIATED,LOW
MER00017,TRAVEL,IN,TIERED,LOW
MER00018,TRAVEL,AE,ENTERPRISE_NEGOTIATED,LOW
MER00019,DIGITAL_GOODS,IN,FLAT_2_0,MEDIUM
MER00020,ELECTRONICS,SG,ENTERPRISE_NEGOTIATED,MEDIUM
MER00021,GROCERY,IN,TIERED,MEDIUM
MER00022,SERVICES,SG,INTERCHANGE_PLUS,HIGH
MER00023,GROCERY,AE,INTERCHANGE_PLUS,LOW
MER00024,TRAVEL,SG,ENTERPRISE_NEGOTIATED,LOW
MER00025,ELECTRONICS,IN,ENTERPRISE_NEGOTIATED,MEDIUM
MER00026,SERVICES,AE,TIERED,LOW
MER00027,SERVICES,IN,INTERCHANGE_PLUS,MEDIUM
MER00028,TRAVEL,SG,ENTERPRISE_NEGOTIATED,HIGH
MER00029,DIGITAL_GOODS,IN,FLAT_2_0,LOW
MER00030,GROCERY,IN,TIERED,LOW
MER00031,GROCERY,SG,INTERCHANGE_PLUS,HIGH
MER00032,DIGITAL_GOODS,IN,FLAT_2_0,LOW
MER00033,ELECTRONICS,IN,ENTERPRISE_NEGOTIATED,LOW
MER00034,SERVICES,IN,TIERED,LOW
MER00035,GAMING,IN,FLAT_2_0,MEDIUM
MER00036,ELECTRONICS,AE,ENTERPRISE_NEGOTIATED,LOW
MER00037,SERVICES,AE,INTERCHANGE_PLUS,LOW
MER00038,GROCERY,SG,TIERED,LOW
MER00039,SERVICES,AE,INTERCHANGE_PLUS,LOW
MER00040,TRAVEL,IN,ENTERPRISE_NEGOTIATED,MEDIUM
MER00041,DIGITAL_GOODS,AE,FLAT_2_0,LOW
MER00042,GROCERY,IN,TIERED,MEDIUM
MER00043,DIGITAL_GOODS,IN,TIERED,MEDIUM
MER00044,ELECTRONICS,IN,ENTERPRISE_NEGOTIATED,LOW
MER00045,TRAVEL,IN,ENTERPRISE_NEGOTIATED,LOW
MER00046,SERVICES,SG,TIERED,MEDIUM
MER00047,GAMING,IN,FLAT_2_0,MEDIUM
MER00048,ELECTRONICS,IN,ENTERPRISE_NEGOTIATED,LOW
MER00049,TRAVEL,SG,TIERED,LOW
MER00050,SERVICES,SG,TIERED,LOW
MER00051,TRAVEL,IN,TIERED,LOW
MER00052,GROCERY,IN,TIERED,MEDIUM
MER00053,TRAVEL,SG,INTERCHANGE_PLUS,MEDIUM
MER00054,DIGITAL_GOODS,SG,FLAT_2_0,LOW
MER00055,TRAVEL,IN,ENTERPRISE_NEGOTIATED,LOW
MER00056,DIGITAL_GOODS,IN,FLAT_2_0,LOW
MER00057,DIGITAL_GOODS,IN,FLAT_2_0,LOW
MER00058,SERVICES,IN,TIERED,MEDIUM
MER00059,SERVICES,SG,INTERCHANGE_PLUS,LOW
MER00060,SERVICES,AE,TIERED,MEDIUM
MER00061,TRAVEL,SG,INTERCHANGE_PLUS,LOW
MER00062,SERVICES,IN,TIERED,LOW
MER00063,ELECTRONICS,AE,TIERED,MEDIUM
MER00064,TRAVEL,IN,TIERED,MEDIUM
MER00065,DIGITAL_GOODS,AE,FLAT_2_0,LOW
MER00066,DIGITAL_GOODS,SG,FLAT_2_0,HIGH
MER00067,DIGITAL_GOODS,SG,FLAT_2_0,MEDIUM
MER00068,SERVICES,IN,TIERED,LOW
MER00069,DIGITAL_GOODS,IN,FLAT_2_0,MEDIUM
MER00070,GROCERY,IN,TIERED,MEDIUM
MER00071,SERVICES,IN,INTERCHANGE_PLUS,LOW
MER00072,SERVICES,IN,TIERED,LOW
MER00073,ELECTRONICS,IN,TIERED,MEDIUM
MER00074,DIGITAL_GOODS,IN,FLAT_2_0,LOW
MER00075,SERVICES,AE,TIERED,MEDIUM
MER00076,GROCERY,IN,TIERED,LOW
MER00077,ELECTRONICS,SG,INTERCHANGE_PLUS,LOW
MER00078,GAMING,IN,FLAT_2_0,HIGH
MER00079,SERVICES,SG,INTERCHANGE_PLUS,LOW
MER00080,TRAVEL,SG,INTERCHANGE_PLUS,MEDIUM
MER00081,GAMING,SG,FLAT_2_0,MEDIUM
MER00082,TRAVEL,IN,INTERCHANGE_PLUS,MEDIUM
MER00083,ELECTRONICS,IN,ENTERPRISE_NEGOTIATED,MEDIUM
MER00084,ELECTRONICS,IN,ENTERPRISE_NEGOTIATED,LOW
MER00085,GROCERY,AE,TIERED,LOW
MER00086,GROCERY,IN,INTERCHANGE_PLUS,HIGH
MER00087,ELECTRONICS,SG,ENTERPRISE_NEGOTIATED,LOW
MER00088,GROCERY,IN,TIERED,LOW
