merchant_id,snapshot_month,risk_score,risk_band
MER00001,2025-01,0.1319,LOW
MER00002,2025-01,0.3826,MEDIUM
MER00003,2025-01,0.4014,MEDIUM
MER00004,2025-01,0.7002,HIGH
MER00005,2025-01,0.4964,MEDIUM
MER00006,2025-01,0.4271,MEDIUM
MER00007,2025-01,0.1457,LOW
MER00008,2025-01,0.4142,MEDIUM
MER00009,2025-01,0.2112,LOW
MER00010,2025-01,0.4402,MEDIUM
MER00011,2025-01,0.4051,MEDIUM
MER00012,2025-01,0.1128,LOW
MER00013,2025-01,0.2446,LOW
MER00014,2025-01,0.1643,LOW
MER00015,2025-01,0.4347,MEDIUM
MER00016,2025-01,0.1394,LOW
MER00017,2025-01,0.1379,LOW
MER00018,2025-01,0.2098,LOW
MER00019,2025-01,0.344,MEDIUM
MER00020,2025-01,0.3502,MEDIUM
MER00021,2025-01,0.5105,MEDIUM
MER00022,2025-01,0.7296,HIGH
MER00023,2025-01,0.205,LOW
MER00024,2025-01,0.1156,LOW
MER00025,2025-01,0.4332,MEDIUM
MER00026,2025-01,0.1756,LOW
MER00027,2025-01,0.3935,MEDIUM
MER00028,2025-01,0.6746,HIGH
MER00029,2025-01,0.0941,LOW
MER00030,2025-01,0.0558,LOW
MER00031,2025-01,0.6978,HIGH
MER00032,2025-01,0.1897,LOW
MER00033,2025-01,0.1951,LOW
MER00034,2025-01,0.2262,LOW
MER00035,2025-01,0.4507,MEDIUM
MER00036,2025-01,0.2691,LOW
MER00037,2025-01,0.2508,LOW
MER00038,2025-01,0.1835,LOW
MER00039,2025-01,0.1895,LOW
MER00040,2025-01,0.4335,MEDIUM
MER00041,2025-01,0.088,LOW
MER00042,2025-01,0.4752,MEDIUM
MER00043,2025-01,0.4551,MEDIUM
MER00044,2025-01,0.0805,LOW
MER00045,2025-01,0.273,LOW
MER00046,2025-01,0.3943,MEDIUM
MER00047,2025-01,0.4125,MEDIUM
MER00048,2025-01,0.1714,LOW
MER00049,2025-01,0.1697,LOW
MER00050,2025-01,0.3237,MEDIUM
MER00051,2025-01,0.1643,LOW
MER00052,2025-01,0.4005,MEDIUM
MER00053,2025-01,0.4212,MEDIUM
MER00054,2025-01,0.1291,LOW
MER00055,2025-01,0.1975,LOW
MER00056,2025-01,0.1307,LOW
MER00057,2025-01,0.21,LOW
MER00058,2025-01,0.3574,MEDIUM
MER00059,2025-01,0.1448,LOW
MER00060,2025-01,0.3597,MEDIUM
MER00061,2025-01,0.1481,LOW
MER00062,2025-01,0.0728,LOW
MER00063,2025-01,0.2733,LOW
MER00064,2025-01,0.4007,MEDIUM
MER00065,2025-01,0.0878,LOW
MER00066,2025-01,0.784,HIGH
MER00067,2025-01,0.3985,MEDIUM
MER00068,2025-01,0.2225,LOW
MER00069,2025-01,0.4385,MEDIUM
MER00070,2025-01,0.3562,MEDIUM
MER00071,2025-01,0.1548,LOW
MER00072,2025-01,0.2244,LOW
MER00073,2025-01,0.4605,MEDIUM
MER00074,2025-01,0.232,LOW
MER00075,2025-01,0.3806,MEDIUM
MER00076,2025-01,0.215,LOW
MER00077,2025-01,0.1437,LOW
MER00078,2025-01,0.7407,HIGH
MER00079,2025-01,0.2388,LOW
MER00080,2025-01,0.3376,MEDIUM
MER00081,2025-01,0.4366,MEDIUM
MER00082,2025-01,0.3543,MEDIUM
MER00083,2025-01,0.4697,MEDIUM
MER00084,2025-01,0.1123,LOW
MER00085,2025-01,0.1994,LOW
MER00086,2025-01,0.7243,HIGH
MER00087,2025-01,0.184,LOW
MER00088,2025-01,0.2317,LOW
MER00089,2025-01,0.1976,LOW
MER00090,2025-01,0.774,HIGH
MER00091,2025-01,0.6139,HIGH
MER00092,2025-01,0.397,MEDIUM
MER00093,2025-01,0.3048,MEDIUM
MER00094,2025-01,0.4022,MEDIUM
MER00095,2025-01,0.1088,LOW
MER00096,2025-01,0.3368,MEDIUM
MER00097,2025-01,0.5867,HIGH
MER00098,2025-01,0.6516,HIGH
MER00099,2025-01,0.4352,MEDIUM
MER00100,2025-01,0.2087,LOW
MER00101,2025-01,0.4801,MEDIUM
MER00102,2025-01,0.2367,LOW
MER00103,2025-01,0.1123,LOW
MER00104,2025-01,0.3754,MEDIUM
MER00105,2025-01,0.1916,LOW
MER00106,2025-01,0.1925,LOW
MER00107,2025-01,0.2628,LOW
MER00108,2025-01,0.4027,MEDIUM
MER00109,2025-01,0.4661,MEDIUM
MER00110,2025-01,0.4114,MEDIUM
MER00111,2025-01,0.2015,LOW
MER00112,2025-01,0.7033,HIGH
MER00113,2025-01,0.1787,LOW
MER00114,2025-01,0.1214,LOW
MER00115,2025-01,0.4366,MEDIUM
MER00116,2025-01,0.2186,LOW
MER00117,2025-01,0.1864,LOW
MER00118,2025-01,0.0142,LOW
MER00119,2025-01,0.6694,HIGH
MER00120,2025-01,0.2207,LOW
MER00121,2025-01,0.3612,MEDIUM
MER00122,2025-01,0.244,LOW
MER00123,2025-01,0.6432,HIGH
MER00124,2025-01,0.4008,MEDIUM
MER00125,2025-01,0.1924,LOW
MER00126,2025-01,0.1247,LOW
MER00127,2025-01,0.2347,LOW
MER00128,2025-01,0.4959,MEDIUM
MER00129,2025-01,0.354,MEDIUM
MER00130,2025-01,0.4089,MEDIUM
MER00131,2025-01,0.2936,LOW
MER00132,2025-01,0.486,MEDIUM
MER00133,2025-01,0.0832,LOW
MER00134,2025-01,0.25,LOW
MER00135,2025-01,0.01,LOW
MER00136,2025-01,0.2169,LOW
MER00137,2025-01,0.1286,LOW
MER00138,2025-01,0.7076,HIGH
MER00139,2025-01,0.6948,HIGH
MER00140,2025-01,0.428,MEDIUM
MER00141,2025-01,0.2151,LOW
MER00142,2025-01,0.6502,HIGH
MER00143,2025-01,0.1441,LOW
MER00144,2025-01,0.7358,HIGH
MER00145,2025-01,0.1803,LOW
MER00146,2025-01,0.1458,LOW
MER00147,2025-01,0.4093,MEDIUM
MER00148,2025-01,0.1641,LOW
MER00149,2025-01,0.3992,MEDIUM
MER00150,2025-01,0.4466,MEDIUM
MER00151,2025-01,0.3678,MEDIUM
MER00152,2025-01,0.5112,MEDIUM
MER00153,2025-01,0.1934,LOW
MER00154,2025-01,0.0698,LOW
MER00155,2025-01,0.1965,LOW
MER00156,2025-01,0.1242,LOW
MER00157,2025-01,0.1783,LOW
MER00158,2025-01,0.1709,LOW
MER00159,2025-01,0.2207,LOW
MER00160,2025-01,0.22,LOW
MER00161,2025-01,0.6933,HIGH
MER00162,2025-01,0.2946,LOW
MER00163,2025-01,0.6365,HIGH
MER00164,2025-01,0.5019,MEDIUM
MER00165,2025-01,0.2636,LOW
MER00166,2025-01,0.4402,MEDIUM
MER00167,2025-01,0.4475,MEDIUM
MER00168,2025-01,0.737,HIGH
MER00169,2025-01,0.4011,MEDIUM
MER00170,2025-01,0.1496,LOW
MER00171,2025-01,0.1528,LOW
MER00172,2025-01,0.4375,MEDIUM
MER00173,2025-01,0.3919,MEDIUM
MER00174,2025-01,0.1367,LOW
MER00175,2025-01,0.3579,MEDIUM
MER00176,2025-01,0.621,HIGH
MER00177,2025-01,0.1416,LOW
MER00178,2025-01,0.643,HIGH
MER00179,2025-01,0.4264,MEDIUM
MER00180,2025-01,0.1334,LOW
MER00181,2025-01,0.4495,MEDIUM
MER00182,2025-01,0.2981,LOW
MER00183,2025-01,0.255,LOW
MER00184,2025-01,0.3563,MEDIUM
MER00185,2025-01,0.4021,MEDIUM
MER00186,2025-01,0.1038,LOW
MER00187,2025-01,0.6917,HIGH
MER00188,2025-01,0.4352,MEDIUM
MER00189,2025-01,0.1904,LOW
MER00190,2025-01,0.117,LOW
MER00191,2025-01,0.141,LOW
MER00192,2025-01,0.7373,HIGH
MER00193,2025-01,0.2038,LOW
MER00194,2025-01,0.3679,MEDIUM
MER00195,2025-01,0.603,HIGH
MER00196,2025-01,0.1756,LOW
MER00197,2025-01,0.6726,HIGH
MER00198,2025-01,0.3428,MEDIUM
MER00199,2025-01,0.1615,LOW
MER00200,2025-01,0.3909,MEDIUM
MER00201,2025-01,0.3848,MEDIUM
MER00202,2025-01,0.3943,MEDIUM
MER00203,2025-01,0.4365,MEDIUM
MER00204,2025-01,0.4254,MEDIUM
MER00205,2025-01,0.4953,MEDIUM
MER00206,2025-01,0.4319,MEDIUM
MER00207,2025-01,0.4683,MEDIUM
MER00208,2025-01,0.3406,MEDIUM
MER00209,2025-01,0.6891,HIGH
MER00210,2025-01,0.1577,LOW
MER00211,2025-01,0.2234,LOW
MER00212,2025-01,0.1952,LOW
MER00213,2025-01,0.2745,LOW
MER00214,2025-01,0.3641,MEDIUM
MER00215,2025-01,0.1373,LOW
MER00216,2025-01,0.2005,LOW
MER00217,2025-01,0.1722,LOW
MER00218,2025-01,0.3634,MEDIUM
MER00219,2025-01,0.2024,LOW
MER00220,2025-01,0.6503,HIGH
MER00221,2025-01,0.207,LOW
MER00222,2025-01,0.078,LOW
MER00223,2025-01,0.1624,LOW
MER00224,2025-01,0.4294,MEDIUM
MER00225,2025-01,0.1902,LOW
MER00226,2025-01,0.7219,HIGH
MER00227,2025-01,0.1653,LOW
MER00228,2025-01,0.2069,LOW
MER00229,2025-01,0.1758,LOW
MER00230,2025-01,0.224,LOW
MER00231,2025-01,0.0877,LOW
MER00232,2025-01,0.2637,LOW
MER00233,2025-01,0.4952,MEDIUM
MER00234,2025-01,0.3859,MEDIUM
MER00235,2025-01,0.5778,HIGH
MER00236,2025-01,0.4104,MEDIUM
MER00237,2025-01,0.3889,MEDIUM
MER00238,2025-01,0.2021,LOW
MER00239,2025-01,0.2095,LOW
MER00240,2025-01,0.155,LOW
MER00241,2025-01,0.2357,LOW
MER00242,2025-01,0.1073,LOW
MER00243,2025-01,0.039,LOW
MER00244,2025-01,0.1889,LOW
MER00245,2025-01,0.4045,MEDIUM
MER00246,2025-01,0.0663,LOW
MER00247,2025-01,0.2166,LOW
MER00248,2025-01,0.0781,LOW
MER00249,2025-01,0.1733,LOW
MER00250,2025-01,0.226,LOW
MER00251,2025-01,0.4354,MEDIUM
MER00252,2025-01,0.692,HIGH
MER00253,2025-01,0.1515,LOW
MER00254,2025-01,0.1901,LOW
MER00255,2025-01,0.4505,MEDIUM
MER00256,2025-01,0.1413,LOW
MER00257,2025-01,0.1121,LOW
MER00258,2025-01,0.2273,LOW
MER00259,2025-01,0.7911,HIGH
MER00260,2025-01,0.2697,LOW
MER00261,2025-01,0.2624,LOW
MER00262,2025-01,0.4951,MEDIUM
MER00263,2025-01,0.1419,LOW
MER00264,2025-01,0.288,LOW
MER00265,2025-01,0.3577,MEDIUM
MER00266,2025-01,0.6123,HIGH
MER00267,2025-01,0.417,MEDIUM
MER00268,2025-01,0.3959,MEDIUM
MER00269,2025-01,0.1589,LOW
MER00270,2025-01,0.4766,MEDIUM
MER00271,2025-01,0.4942,MEDIUM
MER00272,2025-01,0.6234,HIGH
MER00273,2025-01,0.7784,HIGH
MER00274,2025-01,0.1062,LOW
MER00275,2025-01,0.3837,MEDIUM
MER00276,2025-01,0.572,HIGH
MER00277,2025-01,0.7022,HIGH
MER00278,2025-01,0.3806,MEDIUM
MER00279,2025-01,0.6958,HIGH
MER00280,2025-01,0.2223,LOW
MER00281,2025-01,0.2002,LOW
MER00282,2025-01,0.4968,MEDIUM
MER00283,2025-01,0.3681,MEDIUM
MER00284,2025-01,0.1408,LOW
MER00285,2025-01,0.3666,MEDIUM
MER00286,2025-01,0.1302,LOW
MER00287,2025-01,0.6825,HIGH
MER00288,2025-01,0.3562,MEDIUM
MER00289,2025-01,0.4374,MEDIUM
MER00290,2025-01,0.218,LOW
MER00291,2025-01,0.1066,LOW
MER00292,2025-01,0.6422,HIGH
MER00293,2025-01,0.1494,LOW
MER00294,2025-01,0.1668,LOW
MER00295,2025-01,0.4101,MEDIUM
MER00296,2025-01,0.4743,MEDIUM
MER00297,2025-01,0.2388,LOW
MER00298,2025-01,0.3715,MEDIUM
MER00299,2025-01,0.7215,HIGH
MER00300,2025-01,0.2625,LOW
MER00301,2025-01,0.2526,LOW
MER00302,2025-01,0.1923,LOW
MER00303,2025-01,0.6767,HIGH
MER00304,2025-01,0.3358,MEDIUM
MER00305,2025-01,0.1552,LOW
MER00306,2025-01,0.3304,MEDIUM
MER00307,2025-01,0.4884,MEDIUM
MER00308,2025-01,0.1642,LOW
MER00309,2025-01,0.1748,LOW
MER00310,2025-01,0.143,LOW
MER00311,2025-01,0.0954,LOW
MER00312,2025-01,0.2228,LOW
MER00313,2025-01,0.2101,LOW
MER00314,2025-01,0.236,LOW
MER00315,2025-01,0.3149,MEDIUM
MER00316,2025-01,0.4991,MEDIUM
MER00317,2025-01,0.1725,LOW
MER00318,2025-01,0.2266,LOW
MER00319,2025-01,0.0219,LOW
MER00320,2025-01,0.4446,MEDIUM
MER00321,2025-01,0.1756,LOW
MER00322,2025-01,0.4068,MEDIUM
MER00323,2025-01,0.1741,LOW
MER00324,2025-01,0.1442,LOW
MER00325,2025-01,0.3353,MEDIUM
MER00326,2025-01,0.1041,LOW
MER00327,2025-01,0.1816,LOW
MER00328,2025-01,0.4987,MEDIUM
MER00329,2025-01,0.4864,MEDIUM
MER00330,2025-01,0.1938,LOW
MER00331,2025-01,0.3907,MEDIUM
MER00332,2025-01,0.3038,MEDIUM
MER00333,2025-01,0.4609,MEDIUM
MER00334,2025-01,0.2157,LOW
MER00335,2025-01,0.1001,LOW
MER00336,2025-01,0.4353,MEDIUM
MER00337,2025-01,0.3457,MEDIUM
MER00338,2025-01,0.3049,MEDIUM
MER00339,2025-01,0.3695,MEDIUM
MER00340,2025-01,0.6436,HIGH
MER00341,2025-01,0.141,LOW
MER00342,2025-01,0.3978,MEDIUM
MER00343,2025-01,0.4602,MEDIUM
MER00344,2025-01,0.4202,MEDIUM
MER00345,2025-01,0.1825,LOW
MER00346,2025-01,0.2231,LOW
MER00347,2025-01,0.589,HIGH
MER00348,2025-01,0.2249,LOW
MER00349,2025-01,0.4281,MEDIUM
MER00350,2025-01,0.1378,LOW
MER00351,2025-01,0.4279,MEDIUM
MER00352,2025-01,0.4268,MEDIUM
MER00353,2025-01,0.5226,MEDIUM
MER00354,2025-01,0.5025,MEDIUM
MER00355,2025-01,0.2525,LOW
MER00356,2025-01,0.1016,LOW
MER00357,2025-01,0.3747,MEDIUM
MER00358,2025-01,0.5012,MEDIUM
MER00359,2025-01,0.7199,HIGH
MER00360,2025-01,0.2033,LOW
MER00361,2025-01,0.4462,MEDIUM
MER00362,2025-01,0.2024,LOW
MER00363,2025-01,0.6161,HIGH
MER00364,2025-01,0.3861,MEDIUM
MER00365,2025-01,0.2398,LOW
MER00366,2025-01,0.2194,LOW
MER00367,2025-01,0.437,MEDIUM
MER00368,2025-01,0.1411,LOW
MER00369,2025-01,0.4794,MEDIUM
MER00370,2025-01,0.622,HIGH
MER00371,2025-01,0.2689,LOW
MER00372,2025-01,0.3765,MEDIUM
MER00373,2025-01,0.1277,LOW
MER00374,2025-01,0.4218,MEDIUM
MER00375,2025-01,0.4328,MEDIUM
MER00376,2025-01,0.1858,LOW
MER00377,2025-01,0.1006,LOW
MER00378,2025-01,0.4453,MEDIUM
MER00379,2025-01,0.2388,LOW
MER00380,2025-01,0.1751,LOW
MER00381,2025-01,0.3272,MEDIUM
MER00382,2025-01,0.1673,LOW
MER00383,2025-01,0.112,LOW
MER00384,2025-01,0.0641,LOW
MER00385,2025-01,0.1471,LOW
MER00386,2025-01,0.2774,LOW
MER00387,2025-01,0.675,HIGH
MER00388,2025-01,0.1636,LOW
MER00389,2025-01,0.7226,HIGH
MER00390,2025-01,0.2167,LOW
MER00391,2025-01,0.3321,MEDIUM
MER00392,2025-01,0.2921,LOW
MER00393,2025-01,0.4319,MEDIUM
MER00394,2025-01,0.2344,LOW
MER00395,2025-01,0.3843,MEDIUM
MER00396,2025-01,0.0627,LOW
MER00397,2025-01,0.173,LOW
MER00398,2025-01,0.6139,HIGH
MER00399,2025-01,0.7503,HIGH
MER00400,2025-01,0.335,MEDIUM
MER00401,2025-01,0.1816,LOW
MER00402,2025-01,0.456,MEDIUM
MER00403,2025-01,0.4455,MEDIUM
MER00404,2025-01,0.1499,LOW
MER00405,2025-01,0.0732,LOW
MER00406,2025-01,0.3296,MEDIUM
MER00407,2025-01,0.1346,LOW
MER00408,2025-01,0.0954,LOW
MER00409,2025-01,0.1755,LOW
MER00410,2025-01,0.1342,LOW
MER00411,2025-01,0.1024,LOW
MER00412,2025-01,0.5946,HIGH
MER00413,2025-01,0.3245,MEDIUM
MER00414,2025-01,0.1766,LOW
MER00415,2025-01,0.376,MEDIUM
MER00416,2025-01,0.6815,HIGH
MER00417,2025-01,0.1754,LOW
MER00418,2025-01,0.4078,MEDIUM
MER00419,2025-01,0.2188,LOW
MER00420,2025-01,0.3316,MEDIUM
MER00421,2025-01,0.2192,LOW
MER00422,2025-01,0.2036,LOW
MER00423,2025-01,0.1681,LOW
MER00424,2025-01,0.1315,LOW
MER00425,2025-01,0.1824,LOW
MER00426,2025-01,0.7069,HIGH
MER00427,2025-01,0.336,MEDIUM
MER00428,2025-01,0.4566,MEDIUM
MER00429,2025-01,0.5243,MEDIUM
MER00430,2025-01,0.6761,HIGH
MER00431,2025-01,0.7582,HIGH
MER00432,2025-01,0.4485,MEDIUM
MER00433,2025-01,0.4358,MEDIUM
MER00434,2025-01,0.138,LOW
MER00435,2025-01,0.3995,MEDIUM
MER00436,2025-01,0.1212,LOW
MER00437,2025-01,0.4766,MEDIUM
MER00438,2025-01,0.6353,HIGH
MER00439,2025-01,0.2857,LOW
