transaction_id,event_type,event_time,processing_ms,ingestion_time
TXN00000001,CREATED,2025-01-01 00:07:48.442273848,190,2025-01-01 00:11:06.442273848
TXN00000001,AUTHORIZED,2025-01-01 00:07:48.695607181,190,2025-01-01 00:19:32.695607181
TXN00000001,CAPTURED,2025-01-01 00:07:48.948940514,190,2025-01-01 00:15:48.948940514
TXN00000001,SETTLED,2025-01-03 00:07:49.202273848,190,2025-01-03 00:10:42.202273848
TXN00000002,CREATED,2025-01-01 00:09:50.730722680,35,2025-01-01 00:21:26.730722680
TXN00000002,AUTHORIZED,2025-01-01 00:09:50.777389347,35,2025-01-01 00:24:02.777389347
TXN00000002,CAPTURED,2025-01-01 00:09:50.824056013,35,2025-01-01 00:23:39.824056013
TXN00000002,SETTLED,2025-01-02 00:09:50.870722680,35,2025-01-02 00:17:56.870722680
TXN00000003,CREATED,2025-01-01 00:11:53.942240383,82,2025-01-01 00:20:53.942240383
TXN00000003,AUTHORIZED,2025-01-01 00:11:54.051240383,82,2025-01-01 00:13:15.051240383
TXN00000003,CAPTURED,2025-01-01 00:11:54.160240383,82,2025-01-01 00:23:21.160240383
TXN00000003,SETTLED,2025-01-03 00:11:54.269240383,82,2025-01-03 00:26:08.269240383
TXN00000004,CREATED,2025-01-01 00:11:59.120753018,50,2025-01-01 00:12:23.120753018
TXN00000004,AUTHORIZED,2025-01-01 00:11:59.187753018,50,2025-01-01 00:25:45.187753018
TXN00000004,CAPTURED,2025-01-01 00:11:59.254753018,50,2025-01-01 00:15:17.254753018
TXN00000004,SETTLED,2025-01-03 00:11:59.321753018,50,2025-01-03 00:12:49.321753018
TXN00000005,CREATED,2025-01-01 00:17:46.267523528,142,2025-01-01 00:26:49.267523528
TXN00000005,AUTHORIZED,2025-01-01 00:17:46.456856861,142,2025-01-01 00:26:12.456856861
TXN00000005,CAPTURED,2025-01-01 00:17:46.646190195,142,2025-01-01 00:18:52.646190195
TXN00000005,SETTLED,2025-01-03 00:17:46.835523528,142,2025-01-03 00:22:07.835523528
TXN00000006,CREATED,2025-01-01 00:22:32.701518130,62,2025-01-01 00:34:38.701518130
TXN00000006,AUTHORIZED,2025-01-01 00:22:32.783518130,62,2025-01-01 00:34:58.783518130
TXN00000006,CAPTURED,2025-01-01 00:22:32.865518130,62,2025-01-01 00:32:01.865518130
TXN00000006,SETTLED,2025-01-02 00:22:32.947518130,62,2025-01-02 00:30:56.947518130
TXN00000007,CREATED,2025-01-01 00:22:43.893075205,38,2025-01-01 00:31:18.893075205
TXN00000007,AUTHORIZED,2025-01-01 00:22:43.944075205,38,2025-01-01 00:27:27.944075205
TXN00000007,CAPTURED,2025-01-01 00:22:43.995075205,38,2025-01-01 00:27:02.995075205
TXN00000007,SETTLED,2025-01-03 00:22:44.046075205,38,2025-01-03 00:24:34.046075205
TXN00000008,CREATED,2025-01-01 00:23:31.037404678,91,2025-01-01 00:31:32.037404678
TXN00000008,AUTHORIZED,2025-01-01 00:23:31.159071345,91,2025-01-01 00:25:50.159071345
TXN00000008,CAPTURED,2025-01-01 00:23:31.280738011,91,2025-01-01 00:34:53.280738011
TXN00000008,SETTLED,2025-01-02 00:23:31.402404678,91,2025-01-02 00:31:38.402404678
TXN00000009,CREATED,2025-01-01 00:26:03.419359005,37,2025-01-01 00:35:28.419359005
TXN00000009,AUTHORIZED,2025-01-01 00:26:03.469025672,37,2025-01-01 00:33:29.469025672
TXN00000009,CAPTURED,2025-01-01 00:26:03.518692338,37,2025-01-01 00:40:41.518692338
TXN00000009,SETTLED,2025-01-03 00:26:03.568359005,37,2025-01-09 00:26:03.568359005
TXN00000010,CREATED,2025-01-01 00:27:04.468414694,46,2025-01-01 00:40:19.468414694
TXN00000010,AUTHORIZED,2025-01-01 00:27:04.530081361,46,2025-01-01 00:28:12.530081361
TXN00000010,CAPTURED,2025-01-01 00:27:04.591748027,46,2025-01-01 00:27:40.591748027
TXN00000010,SETTLED,2025-01-02 00:27:04.653414694,46,2025-01-02 00:36:32.653414694
TXN00000011,CREATED,2025-01-01 00:28:01.529600867,200,2025-01-01 00:30:59.529600867
TXN00000011,DECLINED,2025-01-01 00:28:01.930600867,200,2025-01-01 00:33:27.930600867
TXN00000012,CREATED,2025-01-01 00:31:56.976181958,402,2025-01-01 00:42:19.976181958
TXN00000012,AUTHORIZED,2025-01-01 00:31:57.511515290,402,2025-01-01 00:42:01.511515290
TXN00000012,CAPTURED,2025-01-01 00:31:58.046848625,402,2025-01-01 00:46:37.046848625
TXN00000012,SETTLED,2025-01-03 00:31:58.582181958,402,2025-01-03 00:33:34.582181958
TXN00000013,CREATED,2025-01-01 00:32:31.622504146,89,2025-01-01 00:36:38.622504146
TXN00000013,AUTHORIZED,2025-01-01 00:32:31.741504146,89,2025-01-01 00:42:02.741504146
TXN00000013,CAPTURED,2025-01-01 00:32:31.860504146,89,2025-01-01 00:37:50.860504146
TXN00000013,SETTLED,2025-01-02 00:32:31.979504146,89,2025-01-02 00:34:14.979504146
TXN00000014,CREATED,2025-01-01 00:45:21.703629465,32,2025-01-01 00:48:01.703629465
TXN00000014,AUTHORIZED,2025-01-01 00:45:21.746296132,32,2025-01-01 00:56:50.746296132
TXN00000014,CAPTURED,2025-01-01 00:45:21.788962798,32,2025-01-01 00:48:27.788962798
TXN00000014,SETTLED,2025-01-02 00:45:21.831629465,32,2025-01-02 00:54:48.831629465
TXN00000015,CREATED,2025-01-01 00:48:40.883840216,84,2025-01-01 00:56:38.883840216
TXN00000015,AUTHORIZED,2025-01-01 00:48:40.995506883,84,2025-01-01 00:58:16.995506883
TXN00000015,CAPTURED,2025-01-01 00:48:41.107173549,84,2025-01-01 00:59:21.107173549
TXN00000015,SETTLED,2025-01-03 00:48:41.218840216,84,2025-01-03 01:00:02.218840216
TXN00000016,CREATED,2025-01-01 00:49:57.205190171,104,2025-01-01 00:58:39.205190171
TXN00000016,AUTHORIZED,2025-01-01 00:49:57.344523504,104,2025-01-01 01:01:29.344523504
TXN00000016,CAPTURED,2025-01-01 00:49:57.483856838,104,2025-01-01 00:52:53.483856838
TXN00000016,SETTLED,2025-01-02 00:49:57.623190171,104,2025-01-02 00:51:19.623190171
TXN00000017,CREATED,2025-01-01 00:51:23.192466974,92,2025-01-01 01:01:22.192466974
TXN00000017,AUTHORIZED,2025-01-01 00:51:23.315466974,92,2025-01-01 01:06:14.315466974
TXN00000017,CAPTURED,2025-01-01 00:51:23.438466974,92,2025-01-01 01:05:10.438466974
TXN00000017,SETTLED,2025-01-02 00:51:23.561466974,92,2025-01-02 00:58:51.561466974
TXN00000018,CREATED,2025-01-01 00:54:53.989639050,61,2025-01-01 01:04:33.989639050
TXN00000018,AUTHORIZED,2025-01-01 00:54:54.070972383,61,2025-01-01 01:09:01.070972383
TXN00000018,CAPTURED,2025-01-01 00:54:54.152305717,61,2025-01-01 01:05:39.152305717
TXN00000018,SETTLED,2025-01-03 00:54:54.233639050,61,2025-01-03 00:57:35.233639050
TXN00000019,CREATED,2025-01-01 00:56:50.188526336,79,2025-01-01 01:09:31.188526336
TXN00000019,AUTHORIZED,2025-01-01 00:56:50.293526336,79,2025-01-01 00:57:16.293526336
TXN00000019,CAPTURED,2025-01-01 00:56:50.398526336,79,2025-01-01 01:00:20.398526336
TXN00000019,SETTLED,2025-01-03 00:56:50.503526336,79,2025-01-03 01:07:57.503526336
TXN00000020,CREATED,2025-01-01 00:58:39.325127418,84,2025-01-01 01:02:38.325127418
TXN00000020,AUTHORIZED,2025-01-01 00:58:39.437794085,84,2025-01-01 01:11:38.437794085
TXN00000020,CAPTURED,2025-01-01 00:58:39.550460751,84,2025-01-01 01:01:08.550460751
TXN00000020,SETTLED,2025-01-02 00:58:39.663127418,84,2025-01-02 01:04:57.663127418
TXN00000021,CREATED,2025-01-01 01:00:25.629411484,106,2025-01-01 01:04:41.629411484
TXN00000021,DECLINED,2025-01-01 01:00:25.841411484,106,2025-01-01 01:02:45.841411484
TXN00000022,CREATED,2025-01-01 01:01:53.264176691,101,2025-01-01 01:12:13.264176691
TXN00000022,AUTHORIZED,2025-01-01 01:01:53.398510024,101,2025-01-01 01:15:51.398510024
TXN00000022,CAPTURED,2025-01-01 01:01:53.532843358,101,2025-01-01 01:14:35.532843358
TXN00000022,SETTLED,2025-01-03 01:01:53.667176691,101,2025-01-03 01:16:24.667176691
TXN00000023,CREATED,2025-01-01 01:02:33.691714601,85,2025-01-01 01:09:13.691714601
TXN00000023,AUTHORIZED,2025-01-01 01:02:33.805381268,85,2025-01-01 01:12:44.805381268
TXN00000023,CAPTURED,2025-01-01 01:02:33.919047934,85,2025-01-01 01:16:52.919047934
TXN00000023,SETTLED,2025-01-02 01:02:34.032714601,85,2025-01-05 01:02:34.032714601
TXN00000024,CREATED,2025-01-01 01:14:08.139458795,104,2025-01-01 01:23:10.139458795
TXN00000024,AUTHORIZED,2025-01-01 01:14:08.277458795,104,2025-01-01 01:27:19.277458795
TXN00000024,CAPTURED,2025-01-01 01:14:08.415458795,104,2025-01-01 01:20:47.415458795
TXN00000024,SETTLED,2025-01-03 01:14:08.553458795,104,2025-01-03 01:20:37.553458795
TXN00000025,CREATED,2025-01-01 01:18:41.944754257,49,2025-01-01 01:21:50.944754257
TXN00000025,AUTHORIZED,2025-01-01 01:18:42.009754257,49,2025-01-01 01:27:33.009754257
TXN00000025,CAPTURED,2025-01-01 01:18:42.074754257,49,2025-01-01 01:27:25.074754257
TXN00000025,SETTLED,2025-01-03 01:18:42.139754257,49,2025-01-03 01:24:22.139754257
TXN00000026,CREATED,2025-01-01 01:21:55.668239255,118,2025-01-01 01:22:49.668239255
TXN00000026,AUTHORIZED,2025-01-01 01:21:55.844739255,118,2025-01-01 01:28:37.844739255
TXN00000026,FAILED,2025-01-01 01:21:56.021239255,118,2025-01-01 01:36:22.021239255
TXN00000027,CREATED,2025-01-01 01:25:04.722490327,78,2025-01-01 01:25:25.722490327
TXN00000027,AUTHORIZED,2025-01-01 01:25:04.825823660,78,2025-01-01 01:27:03.825823660
TXN00000027,CAPTURED,2025-01-01 01:25:04.929156994,78,2025-01-01 01:34:55.929156994
TXN00000027,SETTLED,2025-01-02 01:25:05.032490327,78,2025-01-02 01:26:53.032490327
TXN00000028,CREATED,2025-01-01 01:27:49.650369086,192,2025-01-01 01:31:37.650369086
TXN00000028,AUTHORIZED,2025-01-01 01:27:49.906035753,192,2025-01-01 01:31:05.906035753
TXN00000028,CAPTURED,2025-01-01 01:27:50.161702418,192,2025-01-01 01:30:44.161702418
TXN00000028,SETTLED,2025-01-03 01:27:50.417369086,192,2025-01-03 01:30:40.417369086
TXN00000029,CREATED,2025-01-01 01:33:48.316006555,348,2025-01-01 01:38:18.316006555
TXN00000029,DECLINED,2025-01-01 01:33:49.012006555,348,2025-01-01 01:34:10.012006555
TXN00000030,CREATED,2025-01-01 01:36:43.360005741,102,2025-01-01 01:37:52.360005741
TXN00000030,AUTHORIZED,2025-01-01 01:36:43.496005741,102,2025-01-01 01:50:01.496005741
TXN00000030,CAPTURED,2025-01-01 01:36:43.632005741,102,2025-01-01 01:38:19.632005741
TXN00000030,SETTLED,2025-01-03 01:36:43.768005741,102,2025-01-03 01:49:28.768005741
TXN00000031,CREATED,2025-01-01 01:39:36.822312414,58,2025-01-01 01:54:26.822312414
TXN00000031,AUTHORIZED,2025-01-01 01:39:36.898979081,58,2025-01-01 01:51:22.898979081
TXN00000031,CAPTURED,2025-01-01 01:39:36.975645747,58,2025-01-01 01:40:57.975645747
TXN00000031,SETTLED,2025-01-03 01:39:37.052312414,58,2025-01-03 01:53:49.052312414
TXN00000032,CREATED,2025-01-01 01:41:21.732157123,277,2025-01-01 01:52:38.732157123
TXN00000032,AUTHORIZED,2025-01-01 01:41:22.101490456,277,2025-01-01 01:48:21.101490456
TXN00000032,CAPTURED,2025-01-01 01:41:22.470823790,277,2025-01-01 01:54:29.470823790
TXN00000032,SETTLED,2025-01-02 01:41:22.840157123,277,2025-01-07 01:41:22.840157123
TXN00000033,CREATED,2025-01-01 01:42:00.067475674,38,2025-01-01 01:45:12.067475674
TXN00000033,AUTHORIZED,2025-01-01 01:42:00.118142341,38,2025-01-01 01:44:03.118142341
TXN00000033,CAPTURED,2025-01-01 01:42:00.168809007,38,2025-01-01 01:50:05.168809007
TXN00000033,SETTLED,2025-01-03 01:42:00.219475674,38,2025-01-06 01:42:00.219475674
TXN00000034,CREATED,2025-01-01 01:43:52.943561732,76,2025-01-01 01:48:55.943561732
TXN00000034,AUTHORIZED,2025-01-01 01:43:53.044895065,76,2025-01-01 01:50:21.044895065
TXN00000034,CAPTURED,2025-01-01 01:43:53.146228399,76,2025-01-01 01:51:36.146228399
TXN00000034,SETTLED,2025-01-03 01:43:53.247561732,76,2025-01-03 01:50:13.247561732
TXN00000035,CREATED,2025-01-01 01:48:13.036245936,117,2025-01-01 02:00:00.036245936
TXN00000035,AUTHORIZED,2025-01-01 01:48:13.192579269,117,2025-01-01 01:56:48.192579269
