route_id,provider,region,rate_date,fixed_fee,variable_fee_pct
RT_IN_01,PROV_NORTH,IN,2025-01-01,0.05,0.006
RT_IN_01,PROV_NORTH,IN,2025-01-02,0.05,0.006
RT_IN_01,PROV_NORTH,IN,2025-01-03,0.05,0.006
RT_IN_01,PROV_NORTH,IN,2025-01-04,0.05,0.006001
RT_IN_01,PROV_NORTH,IN,2025-01-05,0.05,0.006001
RT_IN_01,PROV_NORTH,IN,2025-01-06,0.05,0.006001
RT_IN_01,PROV_NORTH,IN,2025-01-07,0.05,0.006001
RT_IN_01,PROV_NORTH,IN,2025-01-08,0.05,0.006002
RT_IN_01,PROV_NORTH,IN,2025-01-09,0.05,0.006002
RT_IN_01,PROV_NORTH,IN,2025-01-10,0.05,0.006002
RT_IN_01,PROV_NORTH,IN,2025-01-11,0.05,0.006002
RT_IN_01,PROV_NORTH,IN,2025-01-12,0.05,0.006003
RT_IN_01,PROV_NORTH,IN,2025-01-13,0.05,0.006003
RT_IN_01,PROV_NORTH,IN,2025-01-14,0.05,0.006003
RT_IN_01,PROV_NORTH,IN,2025-01-15,0.05,0.006003
RT_IN_01,PROV_NORTH,IN,2025-01-16,0.05,0.006004
RT_IN_01,PROV_NORTH,IN,2025-01-17,0.05,0.006004
RT_IN_01,PROV_NORTH,IN,2025-01-18,0.05,0.006004
RT_IN_01,PROV_NORTH,IN,2025-01-19,0.05,0.006004
RT_IN_01,PROV_NORTH,IN,2025-01-20,0.05,0.006005
RT_IN_01,PROV_NORTH,IN,2025-01-21,0.05,0.006005
RT_IN_01,PROV_NORTH,IN,2025-01-22,0.05,0.006005
RT_IN_01,PROV_NORTH,IN,2025-01-23,0.05,0.006005
RT_IN_01,PROV_NORTH,IN,2025-01-24,0.05,0.006006
RT_IN_01,PROV_NORTH,IN,2025-01-25,0.05,0.006006
RT_IN_01,PROV_NORTH,IN,2025-01-26,0.0501,0.006006
RT_IN_01,PROV_NORTH,IN,2025-01-27,0.0501,0.006006
RT_IN_01,PROV_NORTH,IN,2025-01-28,0.0501,0.006007
RT_IN_01,PROV_NORTH,IN,2025-01-29,0.0501,0.006007
RT_IN_01,PROV_NORTH,IN,2025-01-30,0.0501,0.006007
RT_IN_01,PROV_NORTH,IN,2025-01-31,0.0501,0.006007
RT_IN_01,PROV_NORTH,IN,2025-02-01,0.0501,0.006008
RT_IN_01,PROV_NORTH,IN,2025-02-02,0.0501,0.006008
RT_IN_01,PROV_NORTH,IN,2025-02-03,0.0501,0.006008
RT_IN_01,PROV_NORTH,IN,2025-02-04,0.0501,0.006008
RT_IN_01,PROV_NORTH,IN,2025-02-05,0.0501,0.006009
RT_IN_01,PROV_NORTH,IN,2025-02-06,0.0501,0.006009
RT_IN_01,PROV_NORTH,IN,2025-02-07,0.0501,0.006009
RT_IN_01,PROV_NORTH,IN,2025-02-08,0.0501,0.006009
RT_IN_01,PROV_NORTH,IN,2025-02-09,0.0501,0.00601
RT_IN_01,PROV_NORTH,IN,2025-02-10,0.0501,0.00601
RT_IN_01,PROV_NORTH,IN,2025-02-11,0.0501,0.00601
RT_IN_01,PROV_NORTH,IN,2025-02-12,0.0501,0.00601
RT_IN_01,PROV_NORTH,IN,2025-02-13,0.0501,0.006011
RT_IN_01,PROV_NORTH,IN,2025-02-14,0.0501,0.006011
RT_IN_01,PROV_NORTH,IN,2025-02-15,0.0501,0.006011
RT_IN_01,PROV_NORTH,IN,2025-02-16,0.0501,0.006011
RT_IN_01,PROV_NORTH,IN,2025-02-17,0.0501,0.006012
RT_IN_01,PROV_NORTH,IN,2025-02-18,0.0501,0.006012
RT_IN_01,PROV_NORTH,IN,2025-02-19,0.0501,0.006012
RT_IN_01,PROV_NORTH,IN,2025-02-20,0.0501,0.006012
RT_IN_01,PROV_NORTH,IN,2025-02-21,0.0501,0.006013
