transaction_id,settlement_amount,settlement_currency,fee_amount,settlement_status,settlement_date
TXN00068741,434.73,USD,2.6874,SETTLED,2025-05-01
TXN00006228,767.93,USD,4.688,SETTLED,2025-01-13
TXN00207706,117.56,USD,0.7696,SETTLED,2025-11-06
TXN00103720,112.6,USD,0.6642,SETTLED,2025-06-21
TXN00118800,35.63,USD,0.2675,SETTLED,2025-07-12
TXN00160753,119.72,USD,0.6989,SETTLED,2025-09-08
TXN00007562,653.04,USD,3.1047,SETTLED,2025-01-16
TXN00218162,107.42,USD,0.7079,SETTLED,2025-11-15
TXN00130434,43.45,USD,0.3152,SETTLED,2025-07-28
TXN00226155,207.31,USD,1.1185,SETTLED,2025-11-26
TXN00017982,24.48,USD,0.1984,SETTLED,2025-02-04
TXN00150562,41.4,USD,0.2524,SETTLED,2025-08-26
TXN00203620,76.04,USD,0.7441,SETTLED,2025-11-01
TXN00157320,64.35,USD,0.446,IN_TRANSIT,2025-09-03
TXN00038055,38.53,USD,0.2836,SETTLED,2025-03-11
TXN00003698,32.65,USD,0.4428,SETTLED,2025-01-10
TXN00064714,145.91,USD,0.7642,SETTLED,2025-04-22
TXN00249111,1695.76,USD,10.4363,SETTLED,2025-12-21
TXN00249242,9.11,USD,0.555,SETTLED,2025-12-20
TXN00024344,78.73,USD,0.573,SETTLED,2025-02-16
TXN00098268,294.73,USD,1.8416,SETTLED,2025-06-14
TXN00155407,97.74,USD,0.5985,SETTLED,2025-09-01
TXN00038372,74.77,USD,0.5625,SETTLED,2025-03-11
TXN00212184,134.08,USD,0.9095,SETTLED,2025-11-11
TXN00240570,20.16,USD,0.1744,SETTLED,2025-12-11
TXN00004871,19.94,USD,0.1707,SETTLED,2025-01-12
TXN00022382,27.15,USD,0.2146,SETTLED,2025-02-12
TXN00080853,34.02,USD,0.2571,IN_TRANSIT,2025-05-18
TXN00041496,35.62,USD,0.266,SETTLED,2025-03-16
TXN00197320,19.16,USD,0.5823,SETTLED,2025-10-24
TXN00152649,137.92,USD,0.7817,SETTLED,2025-08-27
TXN00178758,11.95,USD,0.1239,SETTLED,2025-09-29
TXN00148040,142.83,USD,0.9212,SETTLED,2025-08-21
TXN00236664,32.16,USD,0.2479,SETTLED,2025-12-07
TXN00015003,27.68,USD,0.2177,SETTLED,2025-01-30
TXN00162423,197.63,USD,1.0547,SETTLED,2025-09-11
TXN00153596,137.6,USD,0.8896,SETTLED,2025-08-31
TXN00043529,93.81,USD,0.6186,SETTLED,2025-03-19
TXN00044579,11.89,USD,0.3856,SETTLED,2025-03-21
TXN00184181,155.75,USD,0.9697,SETTLED,2025-10-07
TXN00219593,30.74,USD,0.2391,SETTLED,2025-11-17
TXN00120222,23.85,USD,0.1958,SETTLED,2025-07-15
TXN00001466,1139.93,USD,6.9312,SETTLED,2025-01-05
TXN00004281,28.25,USD,0.2209,SETTLED,2025-01-11
TXN00212441,84.44,USD,0.5672,SETTLED,2025-11-09
TXN00226001,31.92,USD,0.2463,SETTLED,2025-11-26
TXN00042364,30.83,USD,0.4389,SETTLED,2025-03-17
TXN00177970,33.69,USD,0.2363,CORRECTION,2025-09-29
TXN00096061,31.1,USD,0.2396,SETTLED,2025-06-11
TXN00155312,31.83,USD,0.2449,SETTLED,2025-08-31
TXN00058400,161.7,USD,1.0007,SETTLED,2025-04-14
TXN00015500,105.18,USD,0.686,SETTLED,2025-02-01
TXN00060022,38.95,USD,0.4623,SETTLED,2025-04-17
TXN00144275,22.44,USD,0.1875,SETTLED,2025-08-18
TXN00179387,374.87,USD,1.5916,SETTLED,2025-09-30
TXN00155610,52.7,USD,0.3928,SETTLED,2025-09-01
TXN00066633,485.34,USD,1.7217,SETTLED,2025-04-26
TXN00220880,24.09,USD,0.5969,SETTLED,2025-11-19
TXN00139026,6.5,USD,0.0904,SETTLED,2025-08-11
TXN00159023,130.47,USD,0.8464,SETTLED,2025-09-07
TXN00207189,6.18,USD,0.5456,SETTLED,2025-11-05
TXN00116283,151.18,USD,0.9703,SETTLED,2025-07-11
TXN00020467,4.25,USD,0.3634,SETTLED,2025-02-08
TXN00047470,32.67,USD,0.2483,SETTLED,2025-03-25
TXN00001480,102.06,USD,0.6664,SETTLED,2025-01-05
TXN00187373,7.95,USD,0.0995,SETTLED,2025-10-12
TXN00152028,49.64,USD,0.6673,SETTLED,2025-08-29
TXN00057131,399.61,USD,2.4723,SETTLED,2025-04-11
TXN00080994,174.72,USD,0.8464,SETTLED,2025-05-20
TXN00185557,149.39,USD,0.8355,SETTLED,2025-10-10
TXN00061678,37.61,USD,0.4586,SETTLED,2025-04-17
TXN00053100,105.15,USD,0.6487,SETTLED,2025-04-04
