transaction_id,customer_id,merchant_id,amount,currency,channel,status,created_at,route_id
TXN00000001,CUS002274,MER00458,2.71,SGD,UPI,CAPTURED,2025-01-01 00:07:48.442273848,RT_SG_03
TXN00000002,CUS004764,MER00347,510.46,AED,CARD,CAPTURED,2025-01-01 00:09:50.730722680,RT_AE_03
TXN00000003,CUS004274,MER00312,20.21,AED,BANK_TRANSFER,CAPTURED,2025-01-01 00:11:53.942240383,RT_AE_03
TXN00000004,CUS013113,MER00283,9303.78,INR,CARD,CAPTURED,2025-01-01 00:11:59.120753018,RT_IN_02
TXN00000005,CUS012819,MER00323,7181.88,INR,UPI,CAPTURED,2025-01-01 00:17:46.267523528,RT_IN_01
TXN00000006,CUS001023,MER00389,485.66,SGD,CARD,CAPTURED,2025-01-01 00:22:32.701518130,RT_SG_02
TXN00000007,CUS000229,MER00118,617.28,SGD,CARD,CAPTURED,2025-01-01 00:22:43.893075205,RT_SG_03
TXN00000008,CUS009672,MER00014,399456.78,INR,UPI,CAPTURED,2025-01-01 00:23:31.037404678,RT_IN_02
TXN00000009,CUS004995,MER00141,25.89,AED,UPI,CAPTURED,2025-01-01 00:26:03.419359005,RT_AE_01
TXN00000010,CUS006574,MER00059,61.23,SGD,CARD,CAPTURED,2025-01-01 00:27:04.468414694,RT_SG_01
TXN00000011,CUS003296,MER00579,1511.43,AED,CARD,DECLINED,2025-01-01 00:28:01.529600867,RT_AE_03
TXN00000012,CUS002448,MER00527,7130.38,INR,WALLET,CAPTURED,2025-01-01 00:31:56.976181958,RT_IN_01
TXN00000013,CUS014054,MER00148,29741.92,INR,UPI,CAPTURED,2025-01-01 00:32:31.622504146,RT_IN_02
TXN00000014,CUS002940,MER00124,19321.6,INR,UPI,CAPTURED,2025-01-01 00:45:21.703629465,RT_IN_01
TXN00000015,CUS005175,MER00526,5326.28,INR,CARD,CAPTURED,2025-01-01 00:48:40.883840216,RT_IN_02
